,graphics_unigram,graphics_bigram,graphics_interpolation
file_0,245.41873364798394,0.04787134858849305,0.16253761943640876
file_1,135.38457961123177,0.070313893581569,0.225561628650856
file_10,234.89256753421262,0.06964058993547176,0.25103370195926483
file_100,203.1851726953989,0.13361650215640183,0.41047854534950995
file_101,296.4902822972496,0.04304260282567575,0.14888625996320795
file_102,321.59145408860167,0.1106441024958067,0.35583304396723664
file_103,274.2866119635486,0.0306922831815873,0.11088970928531329
file_104,192.768894477499,0.04445491027412921,0.1567428887413858
file_105,250.87423010728207,0.04685376090669444,0.15553352733708956
file_106,263.7471890968966,0.06245586742390133,0.2245596753727543
file_107,142.42199719587634,0.09111312712777023,0.30420798814406885
file_108,323.1436163031051,0.049835717774016026,0.1625570664378101
file_109,297.1599269504192,0.060678201340346787,0.2006521442303264
file_11,663.3361914264704,5.200762172248625,13.671064622508919
file_110,206.8445635117727,0.08527859268284897,0.29300614928599816
file_111,230.8038440454494,0.20970375447985848,0.6754065181308724
file_112,190.42225270886053,0.10185125895979935,0.3054806258115891
file_113,411.3011593774822,0.035008573636013327,0.12672365314522321
file_114,256.2526266881076,0.05146087807181107,0.17704836720201322
file_115,213.92945804400958,0.046372044856790216,0.1628309816086722
file_116,275.9085481218811,0.03836236180575561,0.1300712319657651
file_117,145.34862168065226,0.024794852767274347,0.08673783306552663
file_118,173.77205187313749,0.16050618685407828,0.49873057180100244
file_119,393.8993009644549,0.4219598741887741,1.135773255257128
file_12,308.0819339641173,0.12185759033515224,0.3520964759040013
file_120,202.76536050044047,0.027442311182997604,0.10427895475304017
file_121,618.7919905691217,0.0936294913934228,0.2955870191593508
file_122,174.2225447437434,0.06553820718165806,0.20141050477478126
file_123,246.77829264152638,0.06364095774591495,0.2155332183502862
file_124,402.52659153359525,0.39928173819333196,1.0723717158793897
file_125,323.0415048863636,0.04902578517901323,0.17086001672195633
file_126,177.32986223397384,0.08160538946317349,0.295084021836504
file_127,165.70144035560398,0.031148107989845415,0.10850654796031611
file_128,287.27513980779077,0.054007250444500804,0.17818342898261225
file_129,818.2331091569215,2.4817236498098416,6.53536298103899
file_13,215.3592784975966,0.09179319347456577,0.25686824347353854
file_130,223.97081430371867,0.12470670776553942,0.41025655152146834
file_131,215.0187857064319,0.08868347752295239,0.2961113140069286
file_132,199.39425600886142,0.04072523618612723,0.14826376846717448
file_133,175.80182056199752,0.04650781003137761,0.16564739516932042
file_134,137.50764126733688,0.030874022234486497,0.12403067763731435
