,atheism_unigram,atheism_bigram,atheism_interpolation
file_0,238.44920164981392,0.04760428740997204,0.07818322494122608
file_1,214.68508609288887,0.04356017438320018,0.06926763577345481
file_10,206.0210982061755,0.06306868340004729,0.10736726309378751
file_100,173.8245522082789,0.030422281708869518,0.05016088179268407
file_101,328.3125030409305,0.05565241553958753,0.08672807278925801
file_102,249.33394712545174,0.12017342264226517,0.18633060832016599
file_103,286.165642504076,0.031248674092435785,0.0525773626832731
file_104,633.4627296498362,0.18164327208259798,0.27916439781225744
file_105,561.8179114554133,0.4630218912082716,0.7159630594188806
file_106,279.50233774101247,0.13212948211856004,0.2125433003115596
file_107,200.86907525758798,0.07884256051477709,0.12397256206587315
file_108,307.4703051456137,0.09374082175393846,0.14335408224833382
file_109,559.6895442471796,0.8293957892418111,1.1006055830137613
file_11,269.151841532594,0.04079794387051687,0.06518268365115294
file_110,183.53944094513608,0.0487140121959386,0.08119330888193245
file_111,182.56253411655075,0.04383385379696289,0.07285995973651263
file_112,188.1477936568712,0.07997520671477316,0.12467527381587279
file_113,868.2902139109524,0.5050764480551784,0.7242562154272548
file_114,308.0466845664552,0.050841050391292684,0.08056215147868014
file_115,153.00832322541655,0.03531499385662268,0.06056123245419694
file_116,258.00096702693554,0.04496235867800972,0.06913742772952962
file_117,238.23839662831017,0.036260278038864724,0.057725689315534595
file_118,183.41202757504513,0.10780033135657605,0.1632239609216437
file_119,230.6055484737958,0.05931198904007027,0.08534354979988461
file_12,322.48253408370005,0.1788908581316302,0.25180883543139176
file_120,1071.1990438563828,1.6781108666182278,2.3240560811958195
file_121,447.528110486515,0.13740605926562194,0.21188560170451315
file_122,193.2174837919848,0.0953727322848746,0.14817235133384282
file_123,247.14617580320035,0.11528240688740951,0.18216893741868315
file_124,376.6751533418446,0.0770030105365933,0.12055020048791959
file_125,384.1124011905626,0.057089500863813904,0.09173273744212136
file_126,345.413330391703,0.14245792613737054,0.21285526112238423
file_127,184.01321169622418,0.038136987811834916,0.05829816337224908
file_128,350.9011955875083,0.06919592030732576,0.1062101488352519
file_129,244.90824521461354,0.053070110143239695,0.08705062163750812
file_13,312.60111124237324,0.28306709142319536,0.353946858750694
file_130,307.15347422376146,0.11226586605411742,0.17628510431319877
file_131,231.33659194796059,0.04518793667682985,0.07317466547496385
file_132,172.15038093527988,0.05760619446344397,0.09599293866718084
file_133,205.54688269831635,0.042437007681997374,0.07156508458155045
file_134,243.87010135081715,0.02459931082535026,0.04245553350412784
file_135,487.0778245153164,0.017376430707054046,0.030332786992052992
file_136,182.61549741978928,0.024943774647127548,0.042176871502260106
file_137,237.7872632101916,0.06824109059521175,0.11267749265438252
file_138,213.13748084165755,0.08424867836881535,0.1436480207272742
file_139,359.9413223955714,0.03922113197716083,0.06377592197589975
file_14,254.8145531142741,0.050869112077781095,0.08274003832854046
file_140,417.08846458701515,0.22731579470914395,0.3280294795220319
file_141,304.2185052500877,0.15940059497558262,0.24165612338933656
file_142,226.19885564449146,0.07654897148599908,0.12636097916122377
file_143,296.87808972222507,0.07461908960172998,0.11229277249226596
file_144,256.38968418295065,0.04822284301380434,0.075843073029321
file_145,384.99171691498697,0.03721632788936898,0.06173055936823982
file_146,251.32723630296536,0.1233592244169656,0.18737046586942624
file_147,388.5251746175901,0.307926299700121,0.41060604418774177
file_148,254.64900748002253,0.09701679022562476,0.14569568051879903
file_149,251.08083419731972,0.09385636242343219,0.1536955535813622
file_15,396.8290718532956,0.08803461208140179,0.13188432036963185
file_150,232.9018439675328,0.011317000818259473,0.02074099353763364
file_151,344.9113629618181,0.0839839739893489,0.13819722715720928
file_152,171.14407801764244,0.03661492090072104,0.062195369757956476
file_153,485.4477370656942,0.33513627033853527,0.5032329652283699
file_154,416.1856857846016,0.20482651867816973,0.2979031628724691
file_155,692.0426005690183,6.522584642082466,9.032821337239117
file_156,242.1615743175549,0.0537385551417409,0.0897422603094098
file_157,211.16875463412015,0.016597593066161997,0.03144724045772683
file_158,342.89245576121795,0.02499957948397775,0.038621939550633554
file_159,329.968533119708,0.06304742463041835,0.09549917438728962
file_16,532.235259444686,4.664460603992721,5.824166427008332
file_160,233.31949899791186,0.6555636955641624,0.8986421798973395
file_161,453.9553226812331,0.04259772578877811,0.07211955353420747
file_162,338.78034567221545,0.24420999505851532,0.38648634104525337
