,motorcycles_unigram,motorcycles_bigram,motorcycles_interpolation
file_0,558.131238135436,4.038260433259956,11.180218453473001
file_1,181.0851442980901,0.032376917690604655,0.11301811655859942
file_10,175.19493325872764,0.10422491969216577,0.37376838404181323
file_100,181.134536074984,0.08095289610427088,0.26933567793870417
file_101,253.48370542557015,0.04234270765846946,0.14679949521025162
file_102,417.19649785203734,1.128626570564651,3.1102992038742325
file_103,349.91631550955157,0.05753537815271771,0.20520163801849206
file_104,203.80712878343326,0.035383647397536716,0.13219135515107705
file_105,195.22984542225564,0.04707838751711505,0.1605288881037233
file_106,201.55532127823935,0.05558972441380367,0.2136116203505871
file_107,149.56308720975784,0.08284973556620938,0.28521217603141963
file_108,319.90993697831414,0.1022319175146506,0.33350164201044724
file_109,220.470770134157,0.06831156775720848,0.23759802877336125
file_11,232.5535937467741,0.033698726647225334,0.12011475036814741
file_110,184.2865079196185,0.0687690598149324,0.24098444817557543
file_111,145.65234459406048,0.0523186145951744,0.18815028150083266
file_112,422.2615367884865,0.6655484975857131,1.728113994645839
file_113,323.17447573296516,0.05696967107303834,0.18640121994070527
file_114,260.03936907865744,0.035515752062296076,0.1292331776006367
file_115,202.72599756554985,0.039255093327293406,0.14199705733490425
file_116,202.41906734312494,0.05243143575898378,0.17412888226123138
file_117,169.21114510677666,0.02407932838504084,0.08813304858063742
file_118,216.4844421881448,0.11814975248127366,0.38680977062259353
file_119,264.03779187636997,0.10580286885767566,0.31827520338599374
file_12,275.81340238593583,0.07914531863887012,0.24851414315281165
file_120,212.76000586158972,0.043272600859415596,0.15326006593503463
file_121,422.4573654922731,0.055498906094509644,0.18343503620815707
file_122,147.1344728882323,0.1174737638460975,0.37938539565598284
file_123,410.05319052390803,0.3435696109478605,1.0485174920856084
file_124,333.97930497688697,0.06674004569845142,0.22477578536783227
file_125,269.30967460679193,0.04031015363924191,0.1454614303106967
file_126,183.10515603466712,0.07705962955230412,0.25532361153624206
file_127,156.82238933446047,0.01923607037269038,0.06964388936384909
file_128,605.1605394878391,0.7936499813650755,2.2836670762537374
file_129,220.26085309046388,0.05447879138928407,0.18750998184165935
file_13,183.94994688770367,0.06374232805750754,0.19744544949800472
file_130,208.08602270409136,0.10498359852144412,0.36258586158967454
file_131,311.11240219185294,0.04315408425103702,0.14756688390033992
file_132,427.50811673322096,0.3742971473181778,1.2584952865488934
file_133,601.2347823777905,0.6336298554950419,1.9054485799256058
file_134,117.81832933369877,0.01933982121343898,0.08035114368805152
file_135,431.7188456316355,0.04059249497017706,0.15377275548433203
file_136,124.66208785014527,0.021381559211806837,0.08688033129986299
file_137,226.5693087252177,0.050660730232993126,0.18094054142272925
