,space_unigram,space_bigram,space_interpolation
file_0,314.85219331725574,0.036077146035939874,0.04121820893635935
file_1,203.90862892112744,0.08180338107968017,0.08782177683615834
file_10,199.09275610741554,0.06382752852605754,0.07460644627473571
file_100,180.50291022108684,0.09065215446541355,0.10374592831280609
file_101,410.6296713278517,0.10542721082940429,0.11615688991417981
file_102,316.15663361481734,0.09852290102625662,0.11035225114254923
file_103,350.974374043511,0.024334191032695716,0.02833875387671437
file_104,249.109954111226,0.03161802370453856,0.03678380585110313
file_105,281.92483874556746,0.040815598306128145,0.04664794805752406
file_106,299.2416006510016,0.0724265031518658,0.08295827958372529
file_107,162.4341017998556,0.09144567895322299,0.10367712570012363
file_108,274.62883414808937,0.09135936910253688,0.1027065847371596
file_109,301.2522403939868,0.06485936818751917,0.07281218399018637
file_11,342.9926895791983,0.04259368448189117,0.048259671892048404
file_110,236.70699313612766,0.059983336219447916,0.06843406187866732
file_111,200.48529761737078,0.04564183508650644,0.05207238994182931
file_112,200.08885944403815,0.09251928234685673,0.09987270715978093
file_113,527.581941290014,0.03384296435164669,0.038552045967418985
file_114,289.24701171316724,0.040924114899985445,0.04745799563735462
file_115,221.5544731143039,0.03676217311165794,0.04288693134152696
file_116,260.760913678178,0.0526529664872526,0.05918957981128315
file_117,206.9664040831674,0.021354129525762978,0.0245046921840216
file_118,178.10114426070024,0.1296114051134437,0.1419642991950887
file_119,265.5293078066893,0.09197881032964629,0.098527141534083
file_12,312.2973330712392,0.08789917579893784,0.09705932123299951
file_120,279.2375536097656,0.025963115830457646,0.030750450436485093
file_121,529.7356783550263,0.0695109088413209,0.07789183278677218
file_122,431.0881258999685,3.177757137247864,3.3502021259033636
file_123,260.13306702332426,0.07190283170562597,0.08210515956769253
file_124,349.9457287524823,0.09872438874032931,0.11229984672239163
file_125,405.0197196566912,0.04564220002523842,0.05244294857124481
file_126,186.85435146113198,0.07601389976288936,0.08677603110270247
file_127,591.9075108317469,1.5185369539764517,1.5174053046341982
file_128,388.59673952442296,0.0483442271264013,0.05357956239418301
file_129,341.5573905027542,0.043976881249828986,0.04997667596330726
file_13,278.2190389152042,0.1393642550466283,0.14453309981020893
file_130,643.7224856433372,2.8707167920322743,3.045895107840095
file_131,265.3639786997095,0.04992185468618905,0.055291750731099654
file_132,194.7367461229566,0.05518119619509555,0.06403942889284336
file_133,212.94378056284637,0.04501442832749641,0.05173928914252557
file_134,133.17513719382046,0.023631050454760234,0.02797521737066551
file_135,593.560821767185,0.013080979820239536,0.015536909002580396
file_136,315.1192985417129,0.029504502804391104,0.03375292927813083
file_137,317.71420564430764,0.06128746323224936,0.06961796009435045
file_138,328.84068241397665,0.06634107745411613,0.07602619167646277
file_139,429.5699212607813,0.05519652291707883,0.06213198539965112
file_14,573.3769034946346,0.5323330785921548,0.5687524237266502
file_140,419.8956994878955,0.18108325336058792,0.1972150507660491
file_141,477.0878127260795,0.2309847153870893,0.2519470979362258
file_142,341.39714201068426,0.1273308178868175,0.14641429099528833
file_143,476.6207043808424,0.8958332450902766,0.9882928009720665
file_144,334.4101773260053,0.05747335570682137,0.06429091826418507
file_145,349.26876641371587,0.04523653549639232,0.05246614346837151
file_146,326.3481657912428,0.027664196487654964,0.030566810470751507
file_147,206.1887469217272,0.11542471298973153,0.12557089576620872
file_148,320.5699641613622,0.09832216208715293,0.11042489516533555
file_149,274.1063514783034,0.047561404625017914,0.0549872270486358
file_15,362.2285994675988,0.07474535594748162,0.08375415481685347
file_150,105.81260876163218,0.022652939441738157,0.027353255032790926
file_151,194.62146025462226,0.04716425319218051,0.055061936062711155
file_152,191.13279890215233,0.03886856186976015,0.044838701897852606
file_153,248.06627242132672,0.045069473923069016,0.05109873031643114
file_154,255.34320045207372,0.062450322494221465,0.07119694861626547
file_155,458.3667555347887,0.07803010868964834,0.08931090108442609
file_156,207.50435026233953,0.04579823565743898,0.05395793972723463
file_157,242.9636231904354,0.055306818682974185,0.06522961834092281
file_158,365.9016557347222,0.048219861788807925,0.053367200741658606
file_159,390.87073941237344,0.13507463210929552,0.14909697211338235
file_16,213.8513760157249,0.10274622313265304,0.115049153826041
file_160,344.3496969248296,0.6904398132227659,0.7307510180393354
file_161,214.57880941761846,0.017301780997378304,0.020444516949130055
file_162,318.4555375601809,0.07192154103147637,0.08180266598856574
file_163,154.22546420252485,0.0720194724210281,0.07905901993046216
file_164,354.2675729903369,0.06100096562039158,0.06984808144877447
file_165,142.7945667541756,0.12736974934359988,0.15422715240016235
file_166,308.30026807291097,0.05485620846282621,0.061948524959423795
file_167,281.6860561533997,0.07599497894326326,0.08676053590302849
file_168,356.3979358562705,0.08209861041249987,0.09313064961982688
file_169,242.15340178244713,0.04914535942883777,0.056280710010818844
file_17,286.255839148578,0.08873249783011217,0.09847005679372504
file_170,494.7262325285178,0.19847763197582505,0.21198768092949763
file_171,239.8812214462993,0.05628635448925668,0.06389048867793723
file_172,293.3354115996745,0.07916302779489028,0.08810744360477915
file_173,240.3565371469537,0.0828769686394519,0.09512898595883976
file_174,246.62564089251612,0.07121306128958392,0.0822548247172303
file_175,314.7213054715668,0.13209639916985955,0.14373931843796645
file_176,503.53556215506694,0.03360983568330154,0.03888820652530248
file_177,233.09103452458314,0.0427925377092556,0.049079717585533776
file_178,464.0734754824641,0.12005171212078443,0.13367702697700715
file_179,270.0415114189142,0.05609089585482577,0.06401019700312083
file_18,322.2580309933259,0.11898143464221501,0.14154873925598843
file_180,356.2902564596583,0.06930105960903643,0.07727960304485029
file_181,389.7867691543075,1.106828257270356,1.1351718935266968
file_182,497.71644316109274,0.18018567618360395,0.19522318145707507
file_183,402.2205105992819,0.07966939244533996,0.0864894222457807
file_184,227.64749866149972,0.0659818386555894,0.07607123670713994
file_185,394.03021861267285,0.054568339206639234,0.06134572007731507
file_186,687.5521122365215,5.535854907231461,5.976341390550346
file_187,531.7243985856305,0.11804120293583938,0.13033525086796277
file_188,352.7924357938814,0.05035859750264996,0.05942751147530157
file_189,311.32334972773094,0.08042355260744714,0.0918040009235756
file_19,262.50883500052356,0.06774826897927456,0.07614593794326144
file_190,436.6417062262951,0.12094447563534394,0.13560094174038706
file_191,469.31482777175,0.13446448174925346,0.14887653507713836
file_192,400.46863837398195,0.07949242465662412,0.0899762838238845
file_193,341.4279247190542,0.07069073540947532,0.08288732589059832
file_194,553.6696147942661,0.13314013326519622,0.14419590250130365
file_195,414.83881456688107,0.051957419168445734,0.061934417848908414
file_196,522.8304077017098,0.0530955828676633,0.05792206501655525
file_197,491.5474077765716,0.34385095736168836,0.3880269716230366
file_198,302.86539676993175,0.033435497145499926,0.03840046091230311
file_199,320.8894409651808,0.07833748210283101,0.08698757742835389
file_2,265.0924799634067,0.03927478004469404,0.046361054420579584
file_20,169.0031214679517,0.04685980589020542,0.053628862488792235
file_200,298.8759358984187,0.12326201987648243,0.14282138423707272
file_201,203.02013901076802,0.0771277189957861,0.08789827005495997
file_202,264.14887468718973,0.06854229024641448,0.07967967941387166
file_203,291.58706598789536,0.06760324546565499,0.07606137995155063
file_204,281.3561664086057,0.05837551635838522,0.06618665682018775
file_205,272.6782204241423,0.06265296333321142,0.0705989743840193
file_206,205.92995833397305,0.11356499458003631,0.1258423933385892
file_207,553.3278902755693,0.04415094490809516,0.05008563400475218
file_208,658.9768944304052,0.02220359553290336,0.025875712932749997
file_209,316.0500382798604,0.1036434368603081,0.11596164646054999
file_21,295.3761713870268,0.05913713027884057,0.06621728284076495
file_210,384.02202483805263,0.1349218176623033,0.14210228003876774
file_211,481.2182872673399,0.1925129215420019,0.21525390625219365
file_212,276.2898590109625,0.031061983803576804,0.03576775965956404
file_213,235.81880048015586,0.08315223646507466,0.0942626420311491
file_214,221.81914782299697,0.030072152026669983,0.03562967822522643
file_215,361.3127115061213,0.0668002050273825,0.07392629144897032
file_216,649.9877301555327,0.033411214969329424,0.03803654172628438
file_217,382.52416285786364,0.06515851959713787,0.07527471140191279
file_218,286.00997364927593,0.08014357526779906,0.08990135996482199
file_219,390.0737444404083,0.0812525181365473,0.0911634420962852
file_22,482.53088137315416,0.022814900148250706,0.02621277839433463
file_220,154.8936406285753,0.05850843909933359,0.06553457410127736
file_221,325.84309015926306,0.0771100389088115,0.08554680008358506
file_222,266.1925371389389,0.07761825563081443,0.09212235301145828
file_223,461.8530910613103,0.02217932232290532,0.02536532969452285
file_224,339.7074955166763,0.09272833412679266,0.10194957032961846
file_225,366.2767090852156,0.06544486842643309,0.07367484564120948
file_226,326.0339235505982,0.05340149020316937,0.06024214475504821
file_227,267.6364592790699,0.08015123948667736,0.08898371404494729
