,medicine_unigram,medicine_bigram,medicine_interpolation
file_0,251.7897175452106,0.07449223156568516,0.2528853184145007
file_1,296.6884803112534,0.053210380855214665,0.17099684932509987
file_10,138.30575173759522,0.0715623892827386,0.26737547376808346
file_100,190.0565346115464,0.1020241573508694,0.371790604141605
file_101,301.0164769723679,0.06089741070896995,0.2004639065356778
file_102,268.4642823830491,0.13607264819212467,0.43167719937067045
file_103,282.20027270348703,0.04518480234903088,0.1550305209059755
file_104,505.4431464110223,0.32780366517989007,1.057187490504226
file_105,293.934141689571,0.04288996371242835,0.14839068368513267
file_106,450.75731423099796,0.2237960699139835,0.7099365077467468
file_107,589.710054220992,4.014229591196286,9.429295116455151
file_108,281.18607867169504,0.08014708019169767,0.26436582664849856
file_109,323.5386079636408,0.09965951431846629,0.3129583855873356
file_11,308.25598341825446,0.043351318967003526,0.14699090176192145
file_110,302.6168217017705,0.12565348266176185,0.39400031137753766
file_111,187.62364250541478,0.042502268398991745,0.15711393272839863
file_112,212.5638619332382,0.06470947686951511,0.21183284937990657
file_113,358.01467463778863,0.04964990243579372,0.17142057984511808
file_114,335.67921903356495,0.24320912737236638,0.7899371466071013
file_115,150.08321890208944,0.053483946070686225,0.19136499878219815
file_116,243.00173840924768,0.06816134415404056,0.22733685884583954
file_117,273.3006218027235,0.06815564174618649,0.22912779726030283
file_118,277.73654852430286,0.09955725360666677,0.3027768349061479
file_119,389.16294437814435,0.12971579212187964,0.3492587582938098
file_12,295.9669218676477,0.14256129280704377,0.4014661302294822
file_120,639.186434396233,0.47635010513936893,1.4998923756886513
file_121,493.99013664841823,0.07636843973316654,0.24031649293396812
file_122,162.55157666312658,0.08959974761219384,0.2997261811224745
file_123,283.32633919318533,0.07478947196330056,0.24987597743220638
file_124,423.7765529303981,0.06561830268509204,0.22389775409828433
file_125,673.1007112375144,0.07914257267664229,0.24875455378077865
file_126,196.55634321559126,0.10283758911566104,0.34424089587781587
file_127,206.52541861358668,0.03051417477176052,0.10120075343947296
file_128,347.8313984298389,0.08571346872164105,0.2754859850109585
file_129,284.06143821750584,0.05479838297650698,0.18468302959785818
file_13,236.59098300858895,0.11274886238552906,0.3439675098353901
file_130,270.7394826172446,0.14870068049717086,0.4812683656638596
file_131,301.05354993382196,0.059880063626420205,0.20039074270465457
file_132,273.95708996311396,0.046070539963393296,0.15894181429348486
file_133,189.03618169653598,0.036635685277497276,0.13586600901925958
file_134,149.44461142347544,0.02409502555669899,0.09849868040409929
file_135,476.51786113408656,0.020439051583940958,0.0745386022943814
file_136,225.575889194263,0.028962377832378938,0.10749415184824443
file_137,363.38453097536484,0.09424117713693343,0.3156732948131833
file_138,282.4236683166604,0.0768808056202154,0.25862857821975976
file_139,346.41733004983655,0.08179997449177544,0.28045742699548937
