,religion_unigram,religion_bigram,religion_interpolation
file_0,278.9669209531665,0.05556515942872869,0.06259190898898838
file_1,197.67154234185435,0.0538402237788363,0.059898019233932655
file_10,142.58192644369151,0.10292258981666601,0.11946630963124932
file_100,204.0880268063399,0.034070530628021345,0.03990899545003711
file_101,345.70073255486903,0.049015760152971696,0.05352624319207757
file_102,247.5470345800421,0.13001148488890218,0.14516605189479578
file_103,289.80788582700643,0.03471766101353226,0.04004990678960283
file_104,311.98277659190956,0.03422722249431273,0.039240938900077814
file_105,568.650750699539,0.3209829530171634,0.363428729250169
file_106,252.92456425207445,0.11647592031032095,0.128967597894848
file_107,183.69335116082723,0.09088664693140934,0.10062063370088098
file_108,273.4388004941104,0.08496752430779847,0.09413909456636986
file_109,358.6086769837137,0.11560319063338723,0.12422907848512958
file_11,280.90499028737764,0.03806887226132485,0.04281517593529879
file_110,209.77756858420847,0.06973923923150138,0.07918866775060648
file_111,184.06110269360707,0.03963106235879415,0.04540976455625992
file_112,186.5619465656688,0.09016253837083689,0.0988009628633917
file_113,647.7197020602654,0.17120112866607815,0.1853189387924004
file_114,654.2801153754386,1.9608404912389161,2.088484222682992
file_115,152.2558176622718,0.036638788302977905,0.04257849328183437
file_116,188.75078891587424,0.05745596109787707,0.0645301413113483
file_117,385.16300633752,0.6528918235237803,0.7095808965833439
file_118,173.39145010503742,0.12842095464829636,0.1383546645882231
file_119,430.0191755804561,0.07721224574968262,0.07831576033375183
file_12,459.814759834524,1.8642260030531501,1.9102675640025926
file_120,385.4456735571692,0.05225922321064126,0.0601583899380809
file_121,456.70269137892046,0.14207460931232482,0.15674262201743325
file_122,202.17732425040205,0.08953086847015315,0.09789044593009925
file_123,282.6906749820695,0.13743916147840285,0.15450582985271102
file_124,416.925800992915,0.08781834715117696,0.09925131955585956
file_125,394.06091083564405,0.05346077793826437,0.059991518331794405
file_126,443.8767906276468,0.24464798347224173,0.26207805287838515
file_127,231.09247216583765,0.03729460908222026,0.040010882202153646
file_128,357.0193239498925,0.06723493494120479,0.07363732041296552
file_129,272.64156189540194,0.047922136731396225,0.05433610164807234
file_13,431.9059162094932,1.1840651785772827,1.1486881414798382
file_130,289.27231985302296,0.12976921368510827,0.1434841095769528
file_131,263.81420073972606,0.030230736672739403,0.03471388655482833
