,autos_unigram,autos_bigram
file240,575.5791490708275,6.62263619422097
file241,455.20256904788374,3.6163138644490176
file242,265.2736578997927,0.06497476996781962
file243,339.8441195003495,0.5106631468038207
file244,395.617066319381,0.16210113054499706
file245,287.7873563958712,0.18735799336037967
file246,544.971960940147,3.660508435538675
file247,320.75967212969806,0.16296067260278502
file248,486.1208900469503,0.37972914769803795
file249,379.67523873349614,0.07728447239691741
file250,937.5445462680586,4.20845554389167
file251,444.6612553641697,0.13165636065943997
file252,186.87668174028852,0.07383824881980537
file253,502.5643285963062,1.449542847422514
file254,258.589582228697,0.031892999796233154
file255,433.43832488756584,0.21358180390527456
file256,638.8401250063267,0.3297214211056066
file257,392.67009888748686,0.5528452193984396
file258,290.31936444339874,0.1042859264626906
file259,407.1915623421141,0.3914468336022592
file260,323.36367177583094,0.03976724898531143
file261,412.3356537215424,0.5285437906045927
file262,350.02367831206107,0.21621102989411556
file263,355.65795607133526,0.18106268533570022
file264,351.35637298455856,0.22275557798838191
file265,464.29959817708334,0.17555638152286854
file266,370.15314631977066,0.2715785057699935
file267,362.16589272236536,0.8300604107782793
file268,389.1444443880936,0.09314230203710963
file269,419.91328873902074,0.2957643195980424
file270,310.4905186422571,0.11564152481017012
file271,403.1016336015442,0.1617237163767574
file272,252.3755074534317,0.08413144578028471
file273,398.25364146674764,0.33464719782041974
file274,301.7121401137583,0.05665935465774936
file275,360.8059528180965,0.13320448681638514
file276,348.77136182690464,0.013914230643887752
file277,668.310447278507,2.4270958348150473
file278,387.03668519516117,1.4766783686503466
file279,294.052418463659,0.06195104163162338
file280,348.9031644986167,0.11670463114943332
file281,432.15297817972737,0.13886602003582488
file282,401.2669155349378,0.6430615084125485
file283,206.54302276325888,0.17321563852643954
file284,287.3810603328273,0.049662550164983936
file285,574.9009614679568,1.959098511741936
file286,374.55831833944035,0.1348622607485913
file287,445.3598569341276,0.04408740457954303
file288,352.8533705002141,0.09340102879038786
file289,282.5862438866326,0.6775108809902749
file290,450.64258559253057,0.3248264271463574
file291,503.88991819694616,0.4317523141778311
file292,367.99034535504256,0.6743517271130173
file293,433.44868338777064,0.037290598031454014
file294,351.4833105836053,0.08353045242828033
file295,380.4156952801095,0.04406954225919621
file296,646.9633047614266,2.935000371769463
file297,506.81182489230997,0.9166107389497619
file298,259.62797534502823,0.055909459748305246
file299,575.5791490708275,6.62263619422097
,autos_unigram,autos_bigram
file240,575.5791490708275,6.62263619422097
file241,455.20256904788374,3.6163138644490176
file242,265.2736578997927,0.06497476996781962
file243,339.8441195003495,0.5106631468038207
file244,395.617066319381,0.16210113054499706
file245,287.7873563958712,0.18735799336037967
file246,544.971960940147,3.660508435538675
file247,320.75967212969806,0.16296067260278502
file248,486.1208900469503,0.37972914769803795
file249,379.67523873349614,0.07728447239691741
file250,937.5445462680586,4.20845554389167
file251,444.6612553641697,0.13165636065943997
file252,186.87668174028852,0.07383824881980537
file253,502.5643285963062,1.449542847422514
file254,258.589582228697,0.031892999796233154
file255,433.43832488756584,0.21358180390527456
file256,638.8401250063267,0.3297214211056066
file257,392.67009888748686,0.5528452193984396
file258,290.31936444339874,0.1042859264626906
file259,407.1915623421141,0.3914468336022592
file260,323.36367177583094,0.03976724898531143
file261,412.3356537215424,0.5285437906045927
file262,350.02367831206107,0.21621102989411556
file263,355.65795607133526,0.18106268533570022
file264,351.35637298455856,0.22275557798838191
file265,464.29959817708334,0.17555638152286854
file266,370.15314631977066,0.2715785057699935
file267,362.16589272236536,0.8300604107782793
file268,389.1444443880936,0.09314230203710963
file269,419.91328873902074,0.2957643195980424
file270,310.4905186422571,0.11564152481017012
file271,403.1016336015442,0.1617237163767574
file272,252.3755074534317,0.08413144578028471
file273,398.25364146674764,0.33464719782041974
file274,301.7121401137583,0.05665935465774936
file275,360.8059528180965,0.13320448681638514
file276,348.77136182690464,0.013914230643887752
file277,668.310447278507,2.4270958348150473
file278,387.03668519516117,1.4766783686503466
file279,294.052418463659,0.06195104163162338
file280,348.9031644986167,0.11670463114943332
file281,432.15297817972737,0.13886602003582488
file282,401.2669155349378,0.6430615084125485
file283,206.54302276325888,0.17321563852643954
file284,287.3810603328273,0.049662550164983936
file285,574.9009614679568,1.959098511741936
file286,374.55831833944035,0.1348622607485913
file287,445.3598569341276,0.04408740457954303
file288,352.8533705002141,0.09340102879038786
file289,282.5862438866326,0.6775108809902749
file290,450.64258559253057,0.3248264271463574
file291,503.88991819694616,0.4317523141778311
file292,367.99034535504256,0.6743517271130173
file293,433.44868338777064,0.037290598031454014
file294,351.4833105836053,0.08353045242828033
file295,380.4156952801095,0.04406954225919621
file296,646.9633047614266,2.935000371769463
file297,506.81182489230997,0.9166107389497619
file298,259.62797534502823,0.055909459748305246
file299,575.5791490708275,6.62263619422097
,autos_unigram,autos_bigram
file240,575.5791490708275,0.0007776028016455265
file241,455.20256904788374,0.0009530301522648716
file242,265.2736578997927,0.001777332943287256
file243,339.8441195003495,0.0015122362010151923
file244,395.617066319381,0.0012724032398663489
file245,287.7873563958712,0.0015892984545781456
file246,544.971960940147,0.0008202984773912824
file247,320.75967212969806,0.0013673658261319345
file248,486.1208900469503,0.001155420465114181
file249,379.67523873349614,0.0011066160922303557
file250,937.5445462680586,0.0007010999504731603
file251,444.6612553641697,0.0009937710434676475
file252,186.87668174028852,0.002404521275099666
