,graphics_unigram,graphics_bigram
file240,360.74737583565485,0.09636096390720916
file241,319.13204100347684,0.02760733008431368
file242,468.47357933661044,0.10624353162749725
file243,159.3162847893861,0.01968345116644045
file244,712.3950620988736,0.0187536943815616
file245,336.9196629504356,0.11298049979310767
file246,437.3351530062914,0.021671069347220757
file247,206.39842847431214,0.1498543843205823
file248,401.69815208736617,0.20140228138323796
file249,684.9859283964832,4.5225959887488685
file250,692.8148920023834,0.16975899241906262
file251,598.4376110243453,2.2846073066651313
file252,398.8127887540244,0.18189337040746728
file253,293.16959763900763,0.05808893371953454
file254,188.57577230085622,0.010497516355351934
file255,754.8736561624629,3.7294419862155594
file256,369.4419102678486,0.059711971386933384
file257,370.37263619770687,1.1443060463903836
file258,434.9692977150042,0.11688083338851074
file259,249.88133598989805,0.0930058169749158
file260,370.04835145249075,0.1296283569597275
file261,297.8078513067025,0.04148921749106077
file262,141.50399002568884,0.052999255534956345
file263,364.01388201487765,0.12143439776147162
file264,379.24074706335034,1.02735744167597
file265,426.4812565230515,0.27192751136628945
file266,369.65535946578086,0.056454526873378534
file267,671.8455917642221,0.009784379160014777
file267,361.77570912647445,0.110845270887305
file268,388.7845192604211,0.02400037784823247
file269,582.317388834662,0.08990406811419717
file270,282.11410776879126,0.10346188283117021
file271,225.67904489312275,0.38504891926811324
file272,385.66623487777304,0.0333579839910049
file273,321.96275861908356,0.11449456008440126
file274,427.37697138579665,0.033843284951551963
file275,725.0462350972342,0.16277487431939686
file276,354.5140064478865,0.0665397602489575
file277,212.76896657413562,0.0821529809847109
file278,299.63986977995603,0.08770625575791108
file279,154.9056693899054,0.020109590674289662
file280,336.26346454967694,0.13193885527621596
file281,403.0185952297664,0.4237518546520629
file282,295.5839027594842,0.19318166197267006
file283,323.5178546934394,0.07680341215856562
file284,374.04392219761394,0.13397570303897408
file285,535.9235563614812,0.31012517840746157
file286,197.7163805975226,0.05725998383673102
file287,227.83359474564202,0.13730765712439866
file288,357.9704103678624,1.207997565025951
file289,756.376692390305,0.3027671363586486
file290,529.382325291687,1.6007454490586321
file291,368.43046406506323,0.05606644635320123
file292,412.400835231015,0.06202535470452702
file293,452.0079218887627,0.11327978105496869
file294,275.6555639657612,0.13835248336973094
file295,430.16942452005134,0.037826868527234776
file296,489.25543025206724,0.15732709683102075
file297,259.9214391419001,0.37977368274750506
file298,323.8631729515957,0.08859322142844314
file299,239.24372154776256,0.0643843246322706
,graphics_unigram,graphics_bigram
file240,360.74737583565485,0.001204752818312316
file241,319.13204100347684,0.0013950007750044616
file242,468.47357933661044,0.0011975307564250925
file243,159.3162847893861,0.002660156584015295
file244,712.3950620988736,0.0006391710407403928
file245,336.9196629504356,0.0012360376702177207
file246,437.3351530062914,0.001011156028343363
file247,206.39842847431214,0.0024133733925357005
file248,401.69815208736617,0.0010707587339054852
file249,684.9859283964832,0.0007158764083544828
file250,692.8148920023834,0.0006755328229542913
file251,598.4376110243453,0.0008284085194960701
file252,398.8127887540244,0.001087082386758627
file253,293.16959763900763,0.0015390010369000062
file254,188.57577230085622,0.0024500400799997387
file255,754.8736561624629,0.0008524152178989923
file256,369.4419102678486,0.0016400854263811278
file257,370.37263619770687,0.0014206876038143808
file258,434.9692977150042,0.0011556823968197653
file259,249.88133598989805,0.0018007167588247862
