,atheism_unigram,atheism_bigram
file240,540.5550831784702,2.7189046627023545
file241,410.4591035803824,0.3296738363225981
file242,494.7007357574371,0.9231520064087962
file243,528.7294602896601,0.8913251543420984
file244,315.28720944571353,0.4578293548740511
file245,685.7903427923972,2.219357077310747
file246,305.9488692984413,0.15384158061446235
file247,476.5166866069217,5.032970655765459
file248,425.98347610030004,0.08903710086799066
file249,342.0431233621299,0.14513619169750583
file250,534.1507631433518,1.106310313905098
file251,466.45272893790644,0.33720835793496845
file252,605.9122154723622,2.626328788977477
file253,541.2868061523391,1.3122297848568207
file254,523.6026607808783,1.6276758219601333
file255,323.39076258226163,0.6048617409502185
file256,456.6426538728655,0.48516355982396137
file257,487.29649933437037,1.2862634586266806
file258,481.3819793704762,0.9375219284087125
file259,504.580971037062,1.5012146061676968
file260,271.3488518913002,0.1102249677330667
file261,367.88316220959206,0.30016941655910595
file262,346.61566757545535,0.2723562286547497
file263,349.8055170927832,0.20086188075310893
file264,350.86343158370386,0.23534932446824297
file265,345.8991862074248,0.9833963313992701
file266,412.6408908620702,0.5574819427063613
file267,434.8160865429436,0.3383370499074974
file268,515.9435130483694,2.6058852611913377
file269,347.3287770462783,0.31838659252558726
file270,325.35968516302506,0.06764834951331644
file271,360.502426199973,0.11313613838093962
file272,731.8968775368061,0.3929075331823101
file273,343.32261403860923,0.026758377002844308
file274,857.130670534891,0.3719245213219469
file275,633.9716323316925,4.145698929172094
file276,463.6074351177982,0.2761382955851424
file277,407.9110087220357,0.2582709476857152
file278,591.9601260343209,2.6622475541953534
file279,410.13276073955853,0.2752174455740285
file280,469.0623841283463,0.12036729808603723
file281,432.31697727609037,0.06718390021913474
file282,500.84675779048763,0.7318454361977311
file283,617.1664071266221,1.3909475508133873
file284,384.64599771118066,0.3255340594325937
file285,603.1990684073374,1.345052791913231
file285,24.44229095709673,0.012332777183742918
file285,434.7457026470774,0.8128653577721822
file286,553.6454083659912,4.270108270149831
file287,433.47120031674467,0.21387695858530167
file288,323.7693193209411,0.5657245530519366
file288,200.89994901221556,0.04422890850156088
file289,571.1057512913004,6.3159941306127125
file290,348.9526064218762,1.8431975450975726
file291,372.5290604018223,0.17785980474851457
file292,620.151802561632,0.32399715982473387
file293,399.39501422447063,0.4299403877793878
file294,422.9052761367316,0.12405465626687492
file295,592.4453775101554,5.544425782682757
file296,250.21451712756573,0.13341911891753042
file297,531.0013727064404,0.9122185224723292
file298,395.74568668871666,0.1855128410983013
file299,458.6252340227992,0.41486038440618356
,atheism_unigram,atheism_bigram
file240,540.5550831784702,0.0006675719585042822
file241,410.4591035803824,0.0009014501452522207
file242,494.7007357574371,0.0007244525261517805
file243,528.7294602896601,0.0007352046151561239
file244,315.28720944571353,0.0011500144339204894
file245,685.7903427923972,0.0004945447322212505
file246,305.9488692984413,0.001194784010887836
file247,476.5166866069217,0.0007587529886052055
file248,425.98347610030004,0.0008319514503058234
file249,342.0431233621299,0.0009825175163526243
file250,534.1507631433518,0.0006584889360210806
file251,466.45272893790644,0.00075124342387619
file252,605.9122154723622,0.0006139332175611351
file253,541.2868061523391,0.0006759117990466807
file254,523.6026607808783,0.0007142668474847913
file255,323.39076258226163,0.001085977319380605
file256,456.6426538728655,0.0008123376173598453
file257,487.29649933437037,0.0007130097857435484
file258,481.3819793704762,0.0007194756270241829
file259,504.580971037062,0.0009059851828648207
file260,271.3488518913002,0.00147551483611995
file261,367.88316220959206,0.0009484543991546392
file262,346.61566757545535,0.0009896718890322021
file263,349.8055170927832,0.0009708252820824744
file264,350.86343158370386,0.0010021644951156764
file265,345.8991862074248,0.001308655963482589
file266,412.6408908620702,0.0008576491784595492
file267,434.8160865429436,0.0007937720431096395
file268,515.9435130483694,0.0007133249500571322
file269,347.3287770462783,0.0010267857792919674
file270,325.35968516302506,0.0012025949576317575
file271,360.502426199973,0.0009223333058727295
file272,731.8968775368061,0.0005999823419282224
file273,343.32261403860923,0.0009535106379333276
file274,857.130670534891,0.0004226650855545259
file275,633.9716323316925,0.0005669048902497215
file276,463.6074351177982,0.0007560827916932881
file277,407.9110087220357,0.0008439151858522411
file278,591.9601260343209,0.0005941560887934934
file279,410.13276073955853,0.000800202388803747
file280,469.0623841283463,0.0007556919664352766
file281,432.31697727609037,0.0008458832635808165
file282,500.84675779048763,0.0006919283648993053
file283,617.1664071266221,0.0005920174472917475
file284,384.64599771118066,0.0008990357129648914
file285,603.1990684073374,0.0006278624550518841
file285,24.44229095709673,0.012332777183742918
file285,434.7457026470774,0.0011021753560600653
file286,553.6454083659912,0.0006771920263131868
file287,433.47120031674467,0.0007925958575753293
file288,323.7693193209411,0.001054261182359332
file288,200.89994901221556,0.0015606218679180626
file289,571.1057512913004,0.0006828024454294591
file290,348.9526064218762,0.0009946227002171199
file291,372.5290604018223,0.0009527685338295163
file292,620.151802561632,0.0006240146722682129
file293,399.39501422447063,0.0009058599264968836
file294,422.9052761367316,0.0009094170087495784
file295,592.4453775101554,0.0006663485562000063
file296,250.21451712756573,0.0013954519164829573
file297,531.0013727064404,0.0006420744700461099
file298,395.74568668871666,0.0008728499879220309
file299,458.6252340227992,0.0007460226945458189
,atheism_unigram,atheism_bigram
file240,540.5550831784702,0.0006675719585042822
file241,410.4591035803824,0.0009014501452522207
file242,494.7007357574371,0.0007244525261517805
file243,528.7294602896601,0.0007352046151561239
file244,315.28720944571353,0.0011500144339204894
file245,685.7903427923972,0.0004945447322212505
file246,305.9488692984413,0.001194784010887836
file247,476.5166866069217,0.0007587529886052055
file248,425.98347610030004,0.0008319514503058234
file249,342.0431233621299,0.0009825175163526243
file250,534.1507631433518,0.0006584889360210806
file251,466.45272893790644,0.00075124342387619
file252,605.9122154723622,0.0006139332175611351
file253,541.2868061523391,0.0006759117990466807
file254,523.6026607808783,0.0007142668474847913
file255,323.39076258226163,0.001085977319380605
file256,456.6426538728655,0.0008123376173598453
file257,487.29649933437037,0.0007130097857435484
file258,481.3819793704762,0.0007194756270241829
file259,504.580971037062,0.0009059851828648207
file260,271.3488518913002,0.00147551483611995
file261,367.88316220959206,0.0009484543991546392
file262,346.61566757545535,0.0009896718890322021
file263,349.8055170927832,0.0009708252820824744
file264,350.86343158370386,0.0010021644951156764
file265,345.8991862074248,0.001308655963482589
file266,412.6408908620702,0.0008576491784595492
file267,434.8160865429436,0.0007937720431096395
file268,515.9435130483694,0.0007133249500571322
file269,347.3287770462783,0.0010267857792919674
file270,325.35968516302506,0.0012025949576317575
file271,360.502426199973,0.0009223333058727295
file272,731.8968775368061,0.0005999823419282224
file273,343.32261403860923,0.0009535106379333276
file274,857.130670534891,0.0004226650855545259
file275,633.9716323316925,0.0005669048902497215
file276,463.6074351177982,0.0007560827916932881
file277,407.9110087220357,0.0008439151858522411
file278,591.9601260343209,0.0005941560887934934
file279,410.13276073955853,0.000800202388803747
file280,469.0623841283463,0.0007556919664352766
file281,432.31697727609037,0.0008458832635808165
file282,500.84675779048763,0.0006919283648993053
file283,617.1664071266221,0.0005920174472917475
file284,384.64599771118066,0.0008990357129648914
file285,603.1990684073374,0.0006278624550518841
file285,24.44229095709673,0.012332777183742918
file285,434.7457026470774,0.0011021753560600653
file286,553.6454083659912,0.0006771920263131868
file287,433.47120031674467,0.0007925958575753293
file288,323.7693193209411,0.001054261182359332
file288,200.89994901221556,0.0015606218679180626
file289,571.1057512913004,0.0006828024454294591
file290,348.9526064218762,0.0009946227002171199
file291,372.5290604018223,0.0009527685338295163
file292,620.151802561632,0.0006240146722682129
file293,399.39501422447063,0.0009058599264968836
file294,422.9052761367316,0.0009094170087495784
file295,592.4453775101554,0.0006663485562000063
file296,250.21451712756573,0.0013954519164829573
file297,531.0013727064404,0.0006420744700461099
file298,395.74568668871666,0.0008728499879220309
file299,458.6252340227992,0.0007460226945458189
