,graphics_unigram,graphics_bigram
file_0,245.41873364798394,0.04787134858849305
file_1,135.38457961123177,0.070313893581569
file_10,234.89256753421262,0.06964058993547176
file_100,203.1851726953989,0.13361650215640183
file_101,296.4902822972496,0.04304260282567575
file_102,321.59145408860167,0.1106441024958067
file_103,274.2866119635486,0.0306922831815873
file_104,192.768894477499,0.04445491027412921
file_105,250.87423010728207,0.04685376090669444
file_106,263.7471890968966,0.06245586742390133
file_107,142.42199719587634,0.09111312712777023
file_108,323.1436163031051,0.049835717774016026
file_109,297.1599269504192,0.060678201340346787
file_11,663.3361914264704,5.200762172248625
file_110,206.8445635117727,0.08527859268284897
file_111,230.8038440454494,0.20970375447985848
file_112,190.42225270886053,0.10185125895979935
file_113,411.3011593774822,0.035008573636013327
file_114,256.2526266881076,0.05146087807181107
file_115,213.92945804400958,0.046372044856790216
file_116,275.9085481218811,0.03836236180575561
file_117,145.34862168065226,0.024794852767274347
file_118,173.77205187313749,0.16050618685407828
file_119,393.8993009644549,0.4219598741887741
file_12,308.0819339641173,0.12185759033515224
file_120,202.76536050044047,0.027442311182997604
file_121,618.7919905691217,0.0936294913934228
file_122,174.2225447437434,0.06553820718165806
file_123,246.77829264152638,0.06364095774591495
file_124,402.52659153359525,0.39928173819333196
file_125,323.0415048863636,0.04902578517901323
file_126,177.32986223397384,0.08160538946317349
file_127,165.70144035560398,0.031148107989845415
file_128,287.27513980779077,0.054007250444500804
file_129,818.2331091569215,2.4817236498098416
file_13,215.3592784975966,0.09179319347456577
file_130,223.97081430371867,0.12470670776553942
file_131,215.0187857064319,0.08868347752295239
file_132,199.39425600886142,0.04072523618612723
file_133,175.80182056199752,0.04650781003137761
file_134,137.50764126733688,0.030874022234486497
file_135,666.5333008146957,0.01208867289859022
file_136,347.458922918372,0.04891287193353513
file_137,606.7492838499539,1.7158405890290416
file_138,253.8791452411891,0.05756230231417476
file_139,332.4079369919733,0.05175990456075381
file_14,231.29312931960706,0.05897915915486361
file_140,325.1517840831143,0.09547504967760415
file_141,305.4000122908222,0.09038986047919302
file_142,505.4691204231062,0.4911353600377173
file_143,342.3029543384844,0.05007095311721748
file_144,293.33240647044624,0.08077903566137858
file_145,386.8156452080399,0.08730026132651483
file_146,171.72171104551964,0.10039142773346396
file_147,195.8525883745451,0.12860653559764748
file_148,199.48047209286926,0.100134859979825
file_149,252.57909402101032,0.037778030681203785
file_15,290.44974983401164,0.05614917017202381
file_150,83.49770664439892,0.02736712530467919
file_151,146.8734759098284,0.057107767251684566
file_152,182.645215099758,0.04170451865553642
file_153,258.857368375516,0.038787129119161226
file_154,215.39429805606719,0.06218448391861811
file_155,238.51664890723748,0.05264091001592725
file_156,186.08619689305354,0.059776829553601335
file_157,548.9398261916815,0.7202653261711371
file_158,337.2837123001563,0.028541836492002166
file_159,366.46035316089274,0.04324373513754282
file_16,165.13930846893948,0.11118698503711395
file_160,245.86883617282135,0.2809659510421883
file_161,185.39539412885142,0.016691116928000353
file_162,268.36982897052985,0.1092930511391178
file_163,123.85961928534815,0.08068911218429944
file_164,336.25047924085163,0.05492403822463142
file_165,132.68226318855466,0.11735278307266138
file_166,478.6171347353553,0.29561310444974104
file_167,238.98048634374828,0.09677623094041798
file_168,271.6778519817677,0.08959245573408564
file_169,206.30309048193195,0.04423038673664804
file_17,241.44392753953844,0.07968735889706116
file_170,386.9156201963147,0.09358173660815201
file_171,295.3540251531853,0.035226737572032436
file_172,270.759696692038,0.035277284280648316
file_173,201.35655036072862,0.06732044808295377
file_174,261.754514510109,0.060125598418372735
file_175,211.7352480584337,0.11655165026518009
file_176,401.08971822914845,0.026569492364401568
file_177,198.08468137508072,0.04312501798510746
file_178,282.9926194541338,0.14752344493372557
file_179,228.48702269061005,0.06347895990622204
file_18,243.2112227502161,0.08731520072369547
file_180,196.21543987162755,0.028875400402581897
file_181,256.51141612870396,0.02676142190540252
file_182,358.59976977377,0.2875986159025753
file_183,330.1846555868365,0.05221257732924347
file_184,213.55415441614903,0.056259012921127734
file_185,384.95318004515457,0.04647328000581125
file_186,384.97539616132656,0.20232753589320665
file_187,296.44175494617434,0.04958039044787885
file_188,335.17867118902655,0.052890066846882265
file_189,251.35024982300064,0.12063360786286048
file_19,265.6116388320268,0.06335648356878733
file_190,348.7650769692285,0.14002910830035084
file_191,334.12881384572535,0.04596041316186091
file_192,319.476331790472,0.07687510487456096
file_193,347.87533528182695,0.0829165273111267
file_194,345.59001445168303,0.054818423151332805
file_195,855.5966535721366,1.3033101763039034
file_196,400.92887994932124,0.12619679948596507
file_197,220.80497316636857,0.04478615466335444
file_198,388.18501966656186,0.09369179809078906
file_199,236.05330444815445,0.08551965403889066
file_2,220.0011880428013,0.03781588448289455
file_20,220.6052930797888,0.0322532268896708
file_200,243.9045801699517,0.13047716302182732
file_201,187.66839418521175,0.05701694622081555
file_202,618.1843023017796,0.05535904008351673
file_203,312.12418073596393,0.061549921403922486
file_204,229.2606086187989,0.06293086745703008
file_205,211.39166936996045,0.043864761938274946
file_206,196.88574046987208,0.09138033280471829
file_207,429.7693972824785,0.029744491323505356
file_208,365.984291089078,0.042705104673598566
file_209,253.73725190219216,0.1354376690111268
file_21,515.6695804961163,0.07451521986879858
file_210,354.0224650637371,0.08098727554087783
file_211,208.02933930391882,0.07102326336827205
file_212,746.4048279429736,0.44056524776115974
file_213,329.6848857857277,0.17006550573027635
file_214,987.7622038591555,0.4823418100949437
file_215,310.1168154916691,0.040667636414256005
file_216,534.0872698092403,0.01364057593747806
file_217,361.1651414345841,0.06191857806083268
file_218,217.39190965199893,0.07193449217377698
file_219,293.2166565169386,0.043934558865019374
file_22,230.91976307708708,0.020465297078026978
file_220,184.2367355839245,0.03941327716518788
file_221,291.207943767596,0.0672946807220671
file_222,251.25280851360915,0.08497391077024871
file_223,358.3541622768019,0.10605102947581437
file_224,287.2534733603046,0.08164221591313443
file_225,281.3977025447537,0.04964529545102781
file_226,287.51908778366146,0.05403657563403538
file_227,313.72486728650983,0.05928653696773899
file_228,262.23490799119315,0.05425144296488695
file_229,294.10261978898154,0.06119107045075846
file_23,452.66500337714206,0.14066373185629807
file_230,232.64877529492725,0.05430353921869465
file_231,565.1323719341951,4.593292313426801
file_232,314.3144341335906,0.1323898958250693
file_233,181.01596497226026,0.08775826471918716
file_234,274.9469915961084,0.07319617354813834
file_235,284.22352692241515,0.06882823859809127
file_236,263.2470551936121,0.16783630867223825
file_237,282.10147364700765,0.13177675270914105
file_238,339.0769127611321,0.25970153026876214
file_239,203.97761174615488,0.09985493695991121
file_24,143.60091323636132,0.05533770912149939
file_240,184.85985026380058,0.0458891863183146
file_241,209.09796842329186,0.08013644307180243
file_242,295.41495043730856,0.04527044545382396
file_243,346.8482160888538,0.030696671618398678
file_244,252.08765243112333,0.0489980287466063
file_245,227.56908543476015,0.04544044052358038
file_246,211.7664944638395,0.039168622331482154
file_247,221.67470700878448,0.05602509088272615
file_248,222.366911930916,0.07722834694460562
file_249,263.16984145746426,0.13767039892078262
file_25,145.66508169888,0.0517161675188646
