,autos_unigram,autos_bigram
file_0,291.57212621877983,0.0660119087037076
file_1,149.7362499079538,0.05654335304225613
file_10,455.3321597562377,1.0493825204072813
file_100,179.71289942285793,0.06655808317564083
file_101,259.1377084910542,0.04880759405627873
file_102,303.623516038377,0.1616948534880128
file_103,277.0759707496452,0.048157096714375715
file_104,185.88627932491252,0.038582292307787557
file_105,237.3508841102101,0.03582664558046414
file_106,198.80619505744866,0.07585772840006627
file_107,134.92156641355092,0.08360895610392383
file_108,428.4904724451253,0.10409328219624193
file_109,239.2004049203229,0.06676609562216969
file_11,230.25427116610538,0.03926549798411389
file_110,186.577674688573,0.09175239414796715
file_111,155.35045878268303,0.03685445387765518
file_112,192.24451647243387,0.08934698857745252
file_113,346.6281479332886,0.04038714221089895
file_114,223.24005477427596,0.04666490639516513
file_115,224.65824696353272,0.045175821957726806
file_116,422.06709463505797,0.08404427809694709
file_117,191.75685162211488,0.027604413738681697
file_118,164.42552448937803,0.1535524671614137
file_119,271.95898479723826,0.12573807505385046
file_12,280.1736614707562,0.1148988804160041
file_120,223.70253772869842,0.029243163133186607
file_121,385.6822129856977,0.07835448965857003
file_122,162.98801125225611,0.09778516209333955
file_123,327.01320159513403,0.07579950009334481
file_124,286.97747592347616,0.1507184584411295
file_125,255.1784692634019,0.055610668145384665
file_126,169.26310891421494,0.07320188555941975
file_127,145.9061754089307,0.028271819009528083
file_128,479.2783034108772,0.12741883266604836
file_129,220.84467913249497,0.05669111006090182
file_13,224.06699879882476,0.0793150510350919
file_130,211.26303456793903,0.17186214370686922
file_131,316.72088585056554,0.18490055416665976
file_132,612.3364438771841,0.3885661444168311
file_133,259.4919113357159,0.03582564450479093
file_134,113.65210528317023,0.05335558037735184
file_135,470.67525320562595,0.04912360152733491
file_136,164.9699625944881,0.025225250734420432
file_137,242.48030752096872,0.06864349320530348
file_138,202.72289876468764,0.06440045906060937
file_139,272.63295869532794,0.08459767322386962
file_14,175.759767997862,0.053806247620477504
file_140,375.64227719774334,0.12712680648339095
file_141,285.5499014460121,0.12361053250536554
file_142,258.9421462928904,0.09732540560991317
file_143,296.06896292428013,0.0514824799005337
file_144,230.31191266240128,0.03748943595414972
file_145,246.28299033047077,0.039028891413224034
file_146,298.2597652388526,0.07544839363146688
file_147,172.50847705515181,0.13773862384687965
file_148,493.15749260855614,0.9958484657796948
file_149,229.79222744810778,0.052705310525697706
file_15,601.1699133333669,2.1419351018817734
file_150,100.49814971613003,0.021433762790079785
file_151,283.8192863792989,0.0891865502769905
file_152,170.44341027276366,0.04040315859972233
file_153,281.09659032665854,0.03067555203660536
file_154,251.3759061717906,0.05506809029642114
file_155,261.41480911972735,0.09531357397800994
file_156,251.09084308808912,0.06713862174198373
file_157,140.42574263315242,0.039972997187471764
file_158,322.1177422449171,0.028625987988568535
file_159,198.65391500843913,0.09313254702881851
file_16,161.23860800040498,0.06130050610606036
file_160,177.19961347569944,0.29326533402884525
file_161,178.29547452500753,0.012046104122944734
file_162,195.5789137106535,0.0823192849332987
file_163,130.24821203617248,0.060502188993420455
file_164,269.01904464000324,0.06083775351510217
file_165,177.04922173076577,0.136247179441387
file_166,198.20894829055612,0.08611150425701487
file_167,241.3319545779587,0.05784553495716741
file_168,284.79232373226336,0.07392826468979773
file_169,237.99620105556272,0.03750117758658023
file_17,217.06644747429831,0.08045998362605508
file_170,366.38476468386676,0.06533083768870734
file_171,293.38896532908757,0.04246279206746729
file_172,237.6417808922365,0.05172605066404086
file_173,238.78268802992076,0.07977848055195072
file_174,288.6668697730366,0.08252758080008148
file_175,237.25635214600345,0.19046778483564825
file_176,391.9716817610584,0.11784324815659694
file_177,265.4490938510531,0.08475731629554413
file_178,275.23284776043687,0.0809347618595556
file_179,208.8633328731087,0.06833336319882173
file_18,283.2909539273561,0.0643058878482477
file_180,328.60696680354204,0.06683948000932416
file_181,198.7110235323869,0.016943643766454065
file_182,318.1112372571648,0.1961109487438531
file_183,262.462006549527,0.06855536682658188
file_184,366.4295609456562,0.21112721587204453
file_185,356.0640203769362,0.0521319295752269
file_186,346.0431045468212,0.2500352286162333
file_187,257.3876360485694,0.05552048052014617
file_188,273.482845117326,0.05786953265703806
file_189,233.56032229981938,0.1282536273688734
file_19,234.40786547373054,0.08144919804130346
file_190,306.91459582903275,0.1564639842985766
file_191,290.53901391414513,0.06312120549249403
file_192,326.86069628585517,0.09711409551140367
file_193,474.6909402703329,0.771212425809855
file_194,327.5458090480869,0.06371331241087
file_195,342.87766054348174,0.03010993080127822
file_196,357.71074686871987,0.17179127953640266
file_197,230.58773825205137,0.043638106872361734
file_198,158.5065875219276,0.05533530677406138
file_199,473.29024015890604,0.08762538070915064
file_2,217.2413847106486,0.1369223842049657
file_20,242.2695035748774,0.1035679512203836
file_200,249.2358967119731,0.1139547081550837
file_201,167.57557867114116,0.055897210362575715
file_202,213.99345685307134,0.07366339198207815
file_203,473.9687662239757,0.08028057009030463
file_204,247.00838528344377,0.053179337596620184
file_205,287.756697347432,0.04971899021867212
file_206,211.3319836754052,0.14480184779703595
file_207,431.51688525738257,0.07914207686149237
file_208,334.6793344271788,0.02314397387431125
file_209,254.047937139588,0.13330547550300845
file_21,184.3990784841761,0.086434207996181
file_210,318.2843616688296,0.1124877847784058
file_211,193.8173941543085,0.06468620867852484
file_212,219.48885463017123,0.030553541753217263
file_213,234.57952464913785,0.05089938869075364
file_214,188.37514012383943,0.03182745297847578
file_215,303.6988723665497,0.05929285955833658
file_216,384.1899295381601,0.03640192029965508
file_217,666.7623782106547,0.6874776097886219
file_218,210.87083980993955,0.06332090128588173
file_219,257.3180548326604,0.06745712842195849
file_22,151.85991726867258,0.017324054538931523
file_220,590.7768496522112,0.6165037538602565
file_221,275.5835841161163,0.07864266732367699
file_222,196.6978607942668,0.05039255887560639
file_223,355.89132312739304,0.08233873127790525
file_224,267.80217736530454,0.07878017013206642
file_225,279.03475631165315,0.07895123818074011
file_226,292.8948798537857,0.08473561386902616
file_227,250.7665577341183,0.05585038442041425
file_228,196.91895927633766,0.01641397092294413
file_229,458.1316128525634,0.7939319541704826
file_23,290.3171392270305,0.0886200560719412
file_230,259.97973283116903,0.1416605576857784
file_231,202.55696021419672,0.07984013290398888
file_232,282.54404574569315,0.17822950524935993
file_233,242.37810328570146,0.06835351716075845
file_234,250.2174072115438,0.0742143544314142
