,religion_unigram,religion_bigram,religion_interpolation
file_0,278.9669209531665,0.05556515942872869,0.08934776720716286
file_1,197.67154234185435,0.0538402237788363,0.08475775149128875
file_10,142.58192644369151,0.10292258981666601,0.1746501726699907
file_100,204.0880268063399,0.034070530628021345,0.05976032467894308
file_101,345.70073255486903,0.049015760152971696,0.07438671396219589
file_102,247.5470345800421,0.13001148488890218,0.201341393351338
file_103,289.80788582700643,0.03471766101353226,0.057376568078558246
file_104,311.98277659190956,0.03422722249431273,0.05714224523422537
file_105,568.650750699539,0.3209829530171634,0.5107397913737658
file_106,252.92456425207445,0.11647592031032095,0.17954447706379617
file_107,183.69335116082723,0.09088664693140934,0.14060851386477694
file_108,273.4388004941104,0.08496752430779847,0.13040545758509464
file_109,358.6086769837137,0.11560319063338723,0.16990122369143928
file_11,280.90499028737764,0.03806887226132485,0.06076236945097249
file_110,209.77756858420847,0.06973923923150138,0.11227593241862892
file_111,184.06110269360707,0.03963106235879415,0.06624012285519905
file_112,186.5619465656688,0.09016253837083689,0.13798241174418538
file_113,647.7197020602654,0.17120112866607815,0.2552902206772681
file_114,654.2801153754386,1.9608404912389161,2.75318260371452
file_115,152.2558176622718,0.036638788302977905,0.06186857914388877
file_116,188.75078891587424,0.05745596109787707,0.09177291838352582
file_117,385.16300633752,0.6528918235237803,0.9685132330222611
file_118,173.39145010503742,0.12842095464829636,0.1895169282044247
file_119,430.0191755804561,0.07721224574968262,0.1021789138594373
file_12,459.814759834524,1.8642260030531501,2.4265477329714416
file_120,385.4456735571692,0.05225922321064126,0.08735620906091611
file_121,456.70269137892046,0.14207460931232482,0.21676463584380448
file_122,202.17732425040205,0.08953086847015315,0.13582908097417062
file_123,282.6906749820695,0.13743916147840285,0.21528513729585597
file_124,416.925800992915,0.08781834715117696,0.14074055696059873
file_125,394.06091083564405,0.05346077793826437,0.08494449556426184
file_126,443.8767906276468,0.24464798347224173,0.3544827197616758
file_127,231.09247216583765,0.03729460908222026,0.055271554283221676
file_128,357.0193239498925,0.06723493494120479,0.10246133124805898
file_129,272.64156189540194,0.047922136731396225,0.07735850516803747
file_13,431.9059162094932,1.1840651785772827,1.4465570097273377
file_130,289.27231985302296,0.12976921368510827,0.1986486541683548
file_131,263.81420073972606,0.030230736672739403,0.050241599116165506
file_132,239.17076017678738,0.036299418818484766,0.0584222073431195
file_133,221.6223910502533,0.03777228459747829,0.06332391662620619
file_134,200.46339752712183,0.07869008760481884,0.13620989946488188
file_135,598.5788557036614,0.019620446154405963,0.034380530684533804
file_136,181.721903927865,0.02402681819434555,0.040962112364060534
file_137,294.65430210773997,0.06017424790685469,0.0981453318295606
file_138,268.94468197451084,0.05651529405410303,0.09205600292929735
file_139,370.2019632109486,0.04306406400813783,0.07078266307627641
file_14,282.63944671342256,0.05403003329005664,0.0869326947530642
file_140,404.7457711457378,0.23661429233939005,0.34339460955324197
file_141,267.14588388405804,0.1460618100030315,0.21616099971396283
file_142,258.7938461308885,0.06398558687346688,0.10546554362974334
file_143,351.0439522765217,0.08092217805994299,0.11592905014440905
file_144,299.1301138516733,0.035116056815174296,0.05506690865812984
file_145,415.93298389259445,0.04527740046196055,0.07190386714184399
file_146,268.81636694423383,0.05943698870110568,0.0933332877105702
file_147,369.346463197114,0.5168450457648995,0.6846673279559925
file_148,288.7274966345702,0.09905460191188875,0.14954631792158446
file_149,273.7860877690798,0.08468726974580612,0.13739717447115002
file_15,454.61604261432683,0.10051431401704036,0.1502390147054313
file_150,297.33461945998823,0.2925221535309173,0.46584584852520544
file_151,537.373360228771,0.20244425142179118,0.32650423858583166
file_152,188.21560373274886,0.03070356280293375,0.051236687498508904
file_153,690.107149479585,0.7120369764123404,1.0385577663072703
file_154,549.908434346501,0.529973700889496,0.7623585399846944
file_155,373.2785505092501,0.33823506522273006,0.5087618475817103
file_156,184.33082499305962,0.06874613441409924,0.11098785202441327
file_157,187.0948807965994,0.027978008852458304,0.050900625870574374
file_158,393.15538633993305,0.03169552058361198,0.04589940961395055
file_159,350.5903955162897,0.06482103163975965,0.09689821797694338
file_16,398.47395887690647,0.2623327172910057,0.3891424687792757
file_160,280.43253903225894,0.7052642420066543,0.9693307702630731
file_161,385.2282516419047,0.036025320109500665,0.05957897742233155
file_162,329.2784354000749,0.23315482703457371,0.3624026941609128
file_163,217.25011426293767,0.054775777688300734,0.09400563146095407
file_164,302.331372310152,0.0555661173647013,0.09396538851594084
file_165,174.1821497193185,0.16742138335087592,0.30750462239475496
file_166,258.3016927248196,0.06143820091126077,0.09735438509463591
file_167,438.4140156850056,0.13408114371600277,0.20725223781881436
file_168,462.6384944863101,1.230036191690848,1.6271754280309554
file_169,260.43643995422224,0.043136125655227876,0.07016056882619519
file_17,387.2299621425852,0.5506835006227999,0.7622079847423346
file_170,354.61512773329724,0.13836416719775693,0.2048939054011473
file_171,698.4467984058005,0.44187973268185804,0.6614055917930854
file_172,308.7757414613794,0.09690988223632829,0.15988723934350554
file_173,387.8375907862183,0.37886382156538934,0.5433149726070008
file_174,261.4880305887066,0.09075291359407144,0.14075829026364456
file_175,335.8951899166172,0.06414954714096957,0.0992065070657139
file_176,491.29285675943197,0.027432416826707367,0.04778286964879114
file_177,202.4900410814841,0.04931512508055992,0.07982542895781546
file_178,363.33974086316823,0.09304067983340775,0.1397105605878592
file_179,529.6207753990307,7.739989634123666,10.097792992461546
file_18,302.0313221445984,0.16084819027285,0.2633775183450459
file_180,202.51409328995814,0.020765740957453586,0.03551137120143126
file_181,236.8568324174528,0.017860546703076737,0.02986206696977378
file_182,385.2340029709896,0.0955833092528461,0.14495512540560948
file_183,464.4334115491871,0.20196428646014558,0.2792151278603325
file_184,273.0538468426607,0.04385227751319624,0.06871659518463573
file_185,400.51947908880584,0.0764402090275452,0.11718916071401132
file_186,382.854283604797,0.29464438322786085,0.46439903273917055
file_187,369.5634017014686,0.07833155211192552,0.11916196081138165
file_188,545.3523475184319,0.05243071079587497,0.08337193072354279
file_189,364.14157469529783,0.3169167949267524,0.45986788453009164
file_19,243.53226683202604,0.06528172704288249,0.10622278147112753
file_190,511.08047389244234,0.3597390236984863,0.5158876453133104
file_191,414.48506124722707,0.06539643771275039,0.09983126148368775
file_192,355.8303396654208,0.11492615335010956,0.16885443104665024
file_193,296.31861407895695,0.09859492876116001,0.16050655679039794
file_194,326.89060871346965,0.08456928989932995,0.12465201909957856
