,atheism_unigram,atheism_bigram
file_0,238.44920164981392,0.04760428740997204
file_1,214.68508609288887,0.04356017438320018
file_10,206.0210982061755,0.06306868340004729
file_100,173.8245522082789,0.030422281708869518
file_101,328.3125030409305,0.05565241553958753
file_102,249.33394712545174,0.12017342264226517
file_103,286.165642504076,0.031248674092435785
file_104,633.4627296498362,0.18164327208259798
file_105,561.8179114554133,0.4630218912082716
file_106,279.50233774101247,0.13212948211856004
file_107,200.86907525758798,0.07884256051477709
file_108,307.4703051456137,0.09374082175393846
file_109,559.6895442471796,0.8293957892418111
file_11,269.151841532594,0.04079794387051687
file_110,183.53944094513608,0.0487140121959386
file_111,182.56253411655075,0.04383385379696289
file_112,188.1477936568712,0.07997520671477316
file_113,868.2902139109524,0.5050764480551784
file_114,308.0466845664552,0.050841050391292684
file_115,153.00832322541655,0.03531499385662268
file_116,258.00096702693554,0.04496235867800972
file_117,238.23839662831017,0.036260278038864724
file_118,183.41202757504513,0.10780033135657605
file_119,230.6055484737958,0.05931198904007027
file_12,322.48253408370005,0.1788908581316302
file_120,1071.1990438563828,1.6781108666182278
file_121,447.528110486515,0.13740605926562194
file_122,193.2174837919848,0.0953727322848746
file_123,247.14617580320035,0.11528240688740951
file_124,376.6751533418446,0.0770030105365933
file_125,384.1124011905626,0.057089500863813904
file_126,345.413330391703,0.14245792613737054
file_127,184.01321169622418,0.038136987811834916
file_128,350.9011955875083,0.06919592030732576
file_129,244.90824521461354,0.053070110143239695
file_13,312.60111124237324,0.28306709142319536
file_130,307.15347422376146,0.11226586605411742
file_131,231.33659194796059,0.04518793667682985
file_132,172.15038093527988,0.05760619446344397
file_133,205.54688269831635,0.042437007681997374
file_134,243.87010135081715,0.02459931082535026
file_135,487.0778245153164,0.017376430707054046
file_136,182.61549741978928,0.024943774647127548
file_137,237.7872632101916,0.06824109059521175
file_138,213.13748084165755,0.08424867836881535
file_139,359.9413223955714,0.03922113197716083
file_14,254.8145531142741,0.050869112077781095
file_140,417.08846458701515,0.22731579470914395
file_141,304.2185052500877,0.15940059497558262
file_142,226.19885564449146,0.07654897148599908
file_143,296.87808972222507,0.07461908960172998
file_144,256.38968418295065,0.04822284301380434
file_145,384.99171691498697,0.03721632788936898
file_146,251.32723630296536,0.1233592244169656
file_147,388.5251746175901,0.307926299700121
file_148,254.64900748002253,0.09701679022562476
file_149,251.08083419731972,0.09385636242343219
file_15,396.8290718532956,0.08803461208140179
file_150,232.9018439675328,0.011317000818259473
file_151,344.9113629618181,0.0839839739893489
file_152,171.14407801764244,0.03661492090072104
file_153,485.4477370656942,0.33513627033853527
file_154,416.1856857846016,0.20482651867816973
file_155,692.0426005690183,6.522584642082466
file_156,242.1615743175549,0.0537385551417409
file_157,211.16875463412015,0.016597593066161997
file_158,342.89245576121795,0.02499957948397775
file_159,329.968533119708,0.06304742463041835
file_16,532.235259444686,4.664460603992721
file_160,233.31949899791186,0.6555636955641624
file_161,453.9553226812331,0.04259772578877811
file_162,338.78034567221545,0.24420999505851532
file_163,175.1627906645131,0.030451225042067574
file_164,317.43471713403216,0.08307472260468035
file_165,173.67333667324095,0.1206334110754894
file_166,243.35610976124556,0.0697165016286149
file_167,559.2261025395013,0.2719326936641375
file_168,466.2859088335101,0.4321757308271672
file_169,237.26061035866508,0.05034758125680038
file_17,278.82085942281157,0.14028134991982538
file_170,425.9294404180533,0.1669987051864121
file_171,556.1993258974803,0.2603943685454188
file_172,587.391776905793,0.20946710386222672
file_173,457.46480343860543,0.2816124819773918
file_174,256.1291475571847,0.05375351399606094
file_175,265.2950932747883,0.0383229263925566
file_176,378.06582585935644,0.02713940640960573
file_177,234.7124722016423,0.061986300618656016
file_178,369.47384395264487,0.16146439207407975
file_179,342.45928021714616,0.19185517208472536
file_18,237.76678224725737,0.07583213174647573
file_180,175.21877890125694,0.030880479746217448
file_181,280.6462703535753,0.009770883180186197
file_182,391.47227211821235,0.11232067821286142
file_183,492.826561550334,0.3448033710904495
file_184,273.435705897018,0.03927515249021047
file_185,307.64477073821206,0.07422394130487335
file_186,434.3459744652822,1.4028249706715448
file_187,338.60266715500745,0.09087966152999871
file_188,424.78752658307053,0.04742714492731166
file_189,448.15860759799966,1.3139064762999992
file_19,250.07712381940638,0.09371471204892266
file_190,508.9326805447469,3.194757609335182
file_191,404.841561709465,0.0623121412864602
file_192,336.26174454038437,0.10255397709509928
file_193,263.63101816790385,0.09818391153781274
file_194,384.8280644060051,0.06192218060623923
file_195,217.05817116534024,0.04091502200106877
file_196,515.7350486015356,0.08142834071153678
file_197,236.77971178968522,0.04808776557796026
file_198,261.18721273172173,0.022957915350956246
file_199,271.88643523470904,0.10197064464504363
file_2,166.50192352059082,0.06032156502900051
file_20,214.03255436505594,0.054481003889999435
file_200,332.15938560511444,0.1174079163915502
file_201,223.47234967905118,0.050135219357621656
file_202,213.0197635052124,0.06872895670974483
file_203,300.77334081219504,0.05383918799869025
file_204,235.55357266155522,0.0793659004709672
file_205,253.72124012836557,0.03977132826722099
file_206,181.24544112006103,0.2663915377516885
file_207,426.2453740570258,0.06511045191949331
file_208,301.94721249799244,0.027041652695765254
file_209,391.3629854190445,0.2900954303067191
file_21,220.2187503690314,0.07372900068864512
file_210,488.038575493619,0.42739778354454594
file_211,199.13784710496157,0.06598728549504286
file_212,243.07005779884594,0.016220857920750033
file_213,290.6198597985185,0.03645972765528042
file_214,175.578848671183,0.022685204685333908
file_215,537.1540228063718,0.3251955600272684
file_216,457.89674494385264,0.03328853140834927
file_217,392.96148298736455,0.07181187499398724
file_218,528.8915751279015,2.107538463472613
file_219,499.8923889562221,0.5631351557688279
file_22,214.42162887263535,0.014558686213582655
file_220,174.51383429004628,0.029328517934861735
file_221,349.67325576522876,0.15508885137186257
file_222,277.85225088369856,0.051482873013375396
file_223,210.52371858430703,0.015493892303354557
file_224,424.11749399856296,0.241736728320383
file_225,468.6282400533563,0.9392763903318527
file_226,426.4122202485801,0.26089670994309044
file_227,344.40184099120836,0.11736150580792389
file_228,143.0302003306591,0.022566923077646232
file_229,359.8813123952988,0.07607859174112581
file_23,362.27834626758005,0.0835207176573994
file_230,381.764029152292,0.10567226059238502
file_231,228.35361057958005,0.09904672263977371
file_232,578.3861981125796,9.166331272532483
file_233,225.67022679133373,0.0719980096464507
file_234,450.5853216073126,0.5828346264475984
file_235,463.86176921214997,0.4304487151808975
file_236,266.7579784325636,0.2188712201200471
file_237,485.2103624031303,0.11874520589226777
file_238,220.9318280977071,0.06907855630264324
file_239,195.3492410509545,0.08819793901473551
file_24,147.44830137146386,0.05857832023375386
file_240,225.12426250909402,0.03594690058929779
file_241,325.3861789704201,0.1686717707035608
file_242,271.8822237185119,0.0675169953361064
file_243,351.6702744858729,0.03963663844291968
file_244,267.315852944974,0.07091278326224199
file_245,209.40558523745898,0.07521450983191202
file_246,276.92132528125006,0.04830391937194418
file_247,269.9776440288196,0.08753362737062467
file_248,209.3234570410061,0.09533468362435461
file_249,294.07233140760025,0.13669722752220076
file_25,238.86279819965006,0.023706093705843895
file_26,391.56178551193057,0.18875116373764556
file_27,334.9678358222086,0.048555454783783265
file_28,210.27757063449135,0.21990144719492863
file_29,484.85133329858434,0.048384837923996296
file_3,221.879837619385,0.033525114017973735
file_30,195.74609662025742,0.02679523433755224
file_31,219.06737822435193,0.055200968221376615
file_32,287.8624411916268,0.04834141048191523
file_33,500.15174155471175,0.6568275818748233
file_34,521.5932139841599,1.3139312074264593
file_35,485.64639580952553,0.9163832283980207
file_36,239.53177384804675,0.04646399107297218
file_37,376.57237797742744,0.02346838446238524
file_38,540.0587915764938,0.24677535766635678
file_39,468.9525377638437,0.12228559436155655
file_4,278.4945377328346,0.07743408288146934
file_40,263.9647132397344,0.09343781999163141
file_41,360.3866617291946,0.05409531708581116
file_42,362.82412448100513,0.0576192461546447
file_43,209.85653618585116,0.04100967550179563
file_44,482.88949796268895,0.49840870226488926
file_45,443.1734080405302,0.12693874502960578
file_46,527.2356303334063,0.17186337691599823
file_47,232.6138458529057,0.17015021156405238
file_48,532.1073376877666,0.2465916966508214
file_49,261.1737626355619,0.09438988149703298
file_5,303.84826808457854,0.0445946593617064
file_50,320.2284355683839,0.1199721512901144
file_51,241.2007804770301,0.20235442315363555
file_52,286.8700643905124,0.08919551778006628
file_52,328.3569655650118,0.15708300947442075
file_53,432.30713906297524,0.19328461794016444
file_54,298.8191541289601,0.10080242766941132
file_55,341.9146565745144,0.07804408628030962
file_56,208.19834586181275,0.051020823985543896
file_57,242.1555040139396,0.08347553290656572
file_58,405.51226735258723,0.4253167957668638
file_59,341.2131934767954,0.13670508643667426
file_6,260.30638712586125,0.0638096949189168
file_60,479.8268094562493,0.4618168345767991
file_61,352.28850717471823,0.05672158285024335
file_62,399.94422528894285,1.6568784261756588
file_63,230.78976725747077,0.02471170134660775
file_64,207.16402415043558,0.05902276586514771
file_65,180.2770078924844,0.04128256659853214
file_66,339.25966436533326,0.029624332288540244
file_67,448.7845315202021,0.16301978247014723
file_68,336.57387439692695,0.08784132959869212
file_69,204.48893408944895,0.06148435647582347
file_7,222.26991313133067,0.02169016999192072
file_70,341.5202337338615,0.021143324942783353
file_71,509.26861983566033,0.009528889916543198
file_72,301.9866341948857,0.13606102728059222
file_73,193.4281592768683,0.050583219281489
file_74,283.3177805768854,0.0964953070929739
file_75,291.0862705711348,0.11411664965667834
file_76,164.0412630213759,0.014370755059673198
file_77,320.10194696774784,0.120580897401521
file_78,193.95212138011092,0.025888432275469126
file_79,257.282041661462,0.06413667563511917
file_8,351.70115506799584,0.06179530224354087
file_80,233.2985616038469,0.14319813572225198
file_81,280.7050596210699,0.08435642852813238
file_82,229.68206192171803,0.16822891434459453
file_83,332.40758953541433,0.08084687022773701
file_84,321.40230969454905,0.01924854286954555
file_85,370.7044715062538,0.1320907662719904
file_86,192.62486016807512,0.03549511906340091
file_87,231.28008687708225,0.08787589761081842
file_88,495.64390203783086,0.1963748271865819
file_89,253.65824288482392,0.03224175135516205
file_9,262.92489164733894,0.5110391819636697
file_90,336.59572328209555,0.03577506764507496
file_91,180.9387601855259,0.03216795727133034
file_92,452.35823983911934,1.542209183339726
file_93,463.57501666554793,0.1764631244188848
file_94,250.4733727762334,0.08552956995095219
file_95,451.8373730122923,0.1457441938094053
file_96,262.8927524873226,0.09185482582802056
file_97,303.42728966002784,0.022606504912749573
file_98,499.4175963336962,0.7577919078044767
file_99,156.4403958691938,0.04077891123832258
