,religion_unigram,religion_bigram
file240,486.4250284420919,0.8732286484494916
file241,440.57046294155924,0.20996584937494184
file242,534.1546628139344,0.6139921280990843
file243,442.6011616882342,0.8563265013902666
file244,429.083325317331,2.05659615769321
file245,499.1694849016115,0.4385068330661155
file246,545.0022510744049,0.6681250465393883
file247,426.58095854951875,0.28375664417694946
file248,560.921503404283,0.08300919569689302
file249,447.6213566469397,0.2346086720643261
file250,511.5388990292993,0.4033414160229867
file251,408.21917894757695,1.0426236990374913
file252,698.7715164495628,2.568412634422672
file253,484.26586443236516,0.23341420875826374
file254,323.8051185392886,0.3980928761811478
file255,435.2378022275813,0.14775598807229318
file256,498.0946814095576,4.014011162856468
file257,680.7655466618131,0.3149876451822244
file258,651.7403377167076,7.8059668706376995
file259,418.2411451604373,0.16569324267784538
file260,475.6598082957278,0.8021706920543956
file261,459.3119604137177,0.16529990970918285
file262,342.99221374659504,0.08711035430999853
file263,442.8257092498936,0.15769635715619562
file265,424.28045925365916,1.1638245833972454
file266,557.7352655041739,6.409754838429296
file267,290.1685222002924,0.2129106686362478
file268,634.181531088116,0.43048141840920673
file269,442.47271842502164,1.5274048147508004
file270,425.7685499153539,0.47968302238112887
file271,370.0545706194015,0.29928629445464844
file272,516.396571834511,2.5693246939917977
file273,404.5391727744448,0.3135894404131128
file274,346.25973259524915,0.1092692816235784
file275,304.04333061011044,0.10477250103352825
file276,383.6993560187009,0.0811729109239823
file277,357.60656934845827,0.4678948353834132
file278,532.2878627255253,0.32662577052638203
file279,369.88491648686505,0.3345845877836333
file280,408.4174831098219,0.2107459950264031
file281,334.97937026692966,0.07731780830351
file282,306.5129987076392,0.24592681850792122
file283,286.9217231261126,0.0783286988955397
file284,406.2340963713449,0.30616330219211585
file285,251.34591526777362,0.12867305742696789
file286,462.2360514946701,0.5581009486331671
file287,416.2255492357849,0.29436981311456184
file288,725.3477939673999,7.695155837237053
file289,193.67370414495312,0.07141451048705733
file290,143.54854885445715,0.027364657802783576
file291,512.8489469554187,1.926571460161814
file292,419.63791716205344,0.10457677222483454
file293,654.2136039543182,0.8527035468868928
file294,479.6386686562175,0.7991370554268691
file295,398.65143965489085,0.1705360323286824
file296,366.4334499166495,0.25717017763717026
file297,521.181806239091,1.1859603957768576
file298,504.04981496775804,0.4770000941320512
file299,486.4250284420919,0.8732286484494916
,religion_unigram,religion_bigram
file240,486.4250284420919,0.8732286484494916
file241,440.57046294155924,0.20996584937494184
file242,534.1546628139344,0.6139921280990843
file243,442.6011616882342,0.8563265013902666
file244,429.083325317331,2.05659615769321
file245,499.1694849016115,0.4385068330661155
file246,545.0022510744049,0.6681250465393883
file247,426.58095854951875,0.28375664417694946
file248,560.921503404283,0.08300919569689302
file249,447.6213566469397,0.2346086720643261
file250,511.5388990292993,0.4033414160229867
file251,408.21917894757695,1.0426236990374913
file252,698.7715164495628,2.568412634422672
file253,484.26586443236516,0.23341420875826374
file254,323.8051185392886,0.3980928761811478
file255,435.2378022275813,0.14775598807229318
file256,498.0946814095576,4.014011162856468
file257,680.7655466618131,0.3149876451822244
file258,651.7403377167076,7.8059668706376995
file259,418.2411451604373,0.16569324267784538
file260,475.6598082957278,0.8021706920543956
file261,459.3119604137177,0.16529990970918285
file262,342.99221374659504,0.08711035430999853
file263,442.8257092498936,0.15769635715619562
file265,424.28045925365916,1.1638245833972454
file266,557.7352655041739,6.409754838429296
file267,290.1685222002924,0.2129106686362478
file268,634.181531088116,0.43048141840920673
file269,442.47271842502164,1.5274048147508004
file270,425.7685499153539,0.47968302238112887
file271,370.0545706194015,0.29928629445464844
file272,516.396571834511,2.5693246939917977
file273,404.5391727744448,0.3135894404131128
file274,346.25973259524915,0.1092692816235784
file275,304.04333061011044,0.10477250103352825
file276,383.6993560187009,0.0811729109239823
file277,357.60656934845827,0.4678948353834132
file278,532.2878627255253,0.32662577052638203
file279,369.88491648686505,0.3345845877836333
file280,408.4174831098219,0.2107459950264031
file281,334.97937026692966,0.07731780830351
file282,306.5129987076392,0.24592681850792122
file283,286.9217231261126,0.0783286988955397
file284,406.2340963713449,0.30616330219211585
file285,251.34591526777362,0.12867305742696789
file286,462.2360514946701,0.5581009486331671
file287,416.2255492357849,0.29436981311456184
file288,725.3477939673999,7.695155837237053
file289,193.67370414495312,0.07141451048705733
file290,143.54854885445715,0.027364657802783576
file291,512.8489469554187,1.926571460161814
file292,419.63791716205344,0.10457677222483454
file293,654.2136039543182,0.8527035468868928
file294,479.6386686562175,0.7991370554268691
file295,398.65143965489085,0.1705360323286824
file296,366.4334499166495,0.25717017763717026
file297,521.181806239091,1.1859603957768576
file298,504.04981496775804,0.4770000941320512
file299,486.4250284420919,0.8732286484494916
,religion_unigram,religion_bigram
file240,486.4250284420919,0.0008830457245296204
file241,440.57046294155924,0.0008009164320537443
file242,534.1546628139344,0.0006686019514371652
file243,442.6011616882342,0.0009253678653724176
file244,429.083325317331,0.0011735500187981737
file245,499.1694849016115,0.0007885135440110996
file246,545.0022510744049,0.0006949115513848022
file247,426.58095854951875,0.0008410896612246608
file248,560.921503404283,0.0007067940000795065
file249,447.6213566469397,0.0008463630326839785
file250,511.5388990292993,0.0007490103383875215
file251,408.21917894757695,0.0009667255196404265
file252,698.7715164495628,0.0005501771992494259
file253,484.26586443236516,0.0007195848516333894
file254,323.8051185392886,0.0011562281844883
file255,435.2378022275813,0.0008414145685045127
file256,498.0946814095576,0.0007469074747623202
file257,680.7655466618131,0.0004804437059438621
file258,651.7403377167076,0.0006150127845930098
file259,418.2411451604373,0.0009344368511586069
file260,475.6598082957278,0.0009642812653626304
file261,459.3119604137177,0.0007691740567749532
file262,342.99221374659504,0.0010516785903630982
file263,442.8257092498936,0.0008359092945150201
file265,424.28045925365916,0.0008548467244988674
file266,557.7352655041739,0.0007214108700623912
file267,290.1685222002924,0.0012793831246991794
file268,634.181531088116,0.0006143604544187885
file269,442.47271842502164,0.0009041915954171458
file270,425.7685499153539,0.0008568164813989568
file271,370.0545706194015,0.0009572377184502805
file272,516.396571834511,0.0007485287314453607
file273,404.5391727744448,0.0008831841736917603
file274,346.25973259524915,0.0009459941480665288
file275,304.04333061011044,0.0011586636345239727
file276,383.6993560187009,0.0009606392069350187
file277,357.60656934845827,0.001019409967807777
file278,532.2878627255253,0.0006383010098760757
file279,369.88491648686505,0.000964854931878468
file280,408.4174831098219,0.000910887622010632
file281,334.97937026692966,0.0010100401972342383
file282,306.5129987076392,0.0011502755278776265
file283,286.9217231261126,0.0012703643129793505
file284,406.2340963713449,0.0009028841739023281
file285,251.34591526777362,0.0014233257971591183
file286,462.2360514946701,0.0007642067576494344
file287,416.2255492357849,0.000925688194998505
file288,725.3477939673999,0.0006191452634231015
file289,193.67370414495312,0.0017302967459576892
file290,143.54854885445715,0.002531377158005102
file291,512.8489469554187,0.000736873230415169
file292,419.63791716205344,0.0008809732008668521
file293,654.2136039543182,0.0006445311540160627
file294,479.6386686562175,0.0007976733924146571
file295,398.65143965489085,0.0008436238302986294
file296,366.4334499166495,0.0009494658879250417
file297,521.181806239091,0.0006968144840875418
file298,504.04981496775804,0.000728558046279366
file299,486.4250284420919,0.0008830457245296204
,religion_unigram,religion_bigram
file240,486.4250284420919,0.0008830457245296204
file241,440.57046294155924,0.0008009164320537443
file242,534.1546628139344,0.0006686019514371652
file243,442.6011616882342,0.0009253678653724176
file244,429.083325317331,0.0011735500187981737
file245,499.1694849016115,0.0007885135440110996
file246,545.0022510744049,0.0006949115513848022
file247,426.58095854951875,0.0008410896612246608
file248,560.921503404283,0.0007067940000795065
file249,447.6213566469397,0.0008463630326839785
file250,511.5388990292993,0.0007490103383875215
file251,408.21917894757695,0.0009667255196404265
file252,698.7715164495628,0.0005501771992494259
file253,484.26586443236516,0.0007195848516333894
file254,323.8051185392886,0.0011562281844883
file255,435.2378022275813,0.0008414145685045127
file256,498.0946814095576,0.0007469074747623202
file257,680.7655466618131,0.0004804437059438621
file258,651.7403377167076,0.0006150127845930098
file259,418.2411451604373,0.0009344368511586069
file260,475.6598082957278,0.0009642812653626304
file261,459.3119604137177,0.0007691740567749532
file262,342.99221374659504,0.0010516785903630982
file263,442.8257092498936,0.0008359092945150201
file265,424.28045925365916,0.0008548467244988674
file266,557.7352655041739,0.0007214108700623912
file267,290.1685222002924,0.0012793831246991794
file268,634.181531088116,0.0006143604544187885
file269,442.47271842502164,0.0009041915954171458
file270,425.7685499153539,0.0008568164813989568
file271,370.0545706194015,0.0009572377184502805
file272,516.396571834511,0.0007485287314453607
file273,404.5391727744448,0.0008831841736917603
file274,346.25973259524915,0.0009459941480665288
file275,304.04333061011044,0.0011586636345239727
file276,383.6993560187009,0.0009606392069350187
file277,357.60656934845827,0.001019409967807777
file278,532.2878627255253,0.0006383010098760757
file279,369.88491648686505,0.000964854931878468
file280,408.4174831098219,0.000910887622010632
file281,334.97937026692966,0.0010100401972342383
file282,306.5129987076392,0.0011502755278776265
file283,286.9217231261126,0.0012703643129793505
file284,406.2340963713449,0.0009028841739023281
file285,251.34591526777362,0.0014233257971591183
file286,462.2360514946701,0.0007642067576494344
file287,416.2255492357849,0.000925688194998505
